name,log10_adj_p_val,median_diff
PSB-1115,3.02147156634102,-0.20541422090779
chlorhexidine,2.60198787093122,-0.059851816249492
PHA-848125,2.4814269301642,-0.0663799105038672
GW-788388,2.06522884303021,-0.1480046706374
voxtalisib,2.03618940233307,-0.0489997243370104
ingenol-mebutate,2.01270841789937,-0.253185868089677
DMH1,1.93700130474653,-0.0897838793084198
idelalisib,1.93239905168985,-0.0601698114772949
GZD824,1.89279016001279,-0.080357670049006
abiraterone-acetate,1.86546387048522,-0.174766718857495
SB-525334,1.85025161719691,-0.0572506645297355
thiomersal,1.83206231191153,-0.0394941515970559
halofuginone,1.81214822441332,-0.0303317585143875
AC-264613,1.80952332343966,-0.061261997476995
tacedinaline,1.78167554232939,-0.042364925195306
dasatinib,1.76810202286,-0.134397846190207
12-O-tetradecanoylphorbol-13-acetate,1.76033759690653,-0.230189562112844
amisulpride,1.73927396565198,-0.110723864881861
nilotinib,1.72379777198006,-0.0319559631704511
simvastatin,1.72320161232058,-0.025246715708554
triamcinolone-acetonide,1.70287044972709,-0.181348064590165
palbociclib,1.68147237324803,-0.0504208824593141
obatoclax,1.67312193024741,-0.038109827554643
LDN-57444,1.66854799208268,-0.0445497099162889
NVP-BEZ235,1.65206942033997,-0.0522679606380455
BMS-599626,1.64017909788711,-0.105550507621615
SCH-58261,1.62727673709862,-0.138216786703355
semaxanib,1.61905225051858,-0.0433046346570284
levonorgestrel,1.61728983761545,-0.065212580348277
gossypol,1.61337407008793,-0.0139221876067059
AZD4547,1.60877477643038,-0.188106101332965
selamectin,1.59993185619419,-0.191091971705218
mexiletine,1.5988260445502,-0.0394257946272381
dioscin,1.59378151518438,-0.0611641104199699
teroxirone,1.58611451216661,-0.0354295306306206
pacritinib,1.55283040044384,-0.018958722728274
methacycline,1.55283040044384,-0.0310248051335719
idasanutlin,1.50410610688721,-0.203273219569296
levocarnitine,1.50334330845904,-0.100222555142745
SKF-96365,1.4923731637798,-0.0135338193311308
ciclesonide,1.4899444300952,-0.146538781321674
ammonium-lactate,1.46982156467334,-0.146707877661895
SR-57227A,1.45475333615057,-0.166169903825117
nomegestrol-acetate,1.44382928884728,-0.07740099685725
FG-4592,1.43175372786966,-0.139514757313079
PPT,1.36366862507197,-0.0278830708146269
RI-1,1.34899815060834,-0.185288448531105
fluroxene,1.33333846196698,-0.218396200197031
toremifene,1.33120343552477,-0.0310204056871299
kenpaullone,1.32548710328154,-0.158454398886576
eplerenone,1.31835573966591,-0.0366060291397701
sorafenib,1.30657226263128,-0.0338172281348237
