gene	unigram_count
TSC2	5333
BRIP1	2746
EP300	6623
MTOR	5434
XPO1	1819
ROS1	7443
KMT2C	8203
NOTCH1	11195
BARD1	1913
MET	5237
BRAF	9733
BRCA2	8353
EPHA5	4235
PIM1	1605
CCND1	1043
NTRK3	4444
FANCA	4070
H3F3A	649
WHSC1	2170
PDGFRA	5290
CARD11	4787
TP53	70606
APC	22453
GRIN2A	4943
BRCA1	4537
ATM	11406
NF1	11622
BCOR	5650
CIC	5629
BCL6	1766
FGFR2	3421
IRS2	2906
PIK3R2	1334
STAG2	3926
SF3B1	5203
RICTOR	2898
ESR1	3154
GNAS-AS1	3037
KDM6A	4857
GATA1	669
KDR	5278
JMJD1C	15
ERBB2	5323
FLT4	4583
CDKN2A	7022
SUFU	1233
FGF3	723
KMT2A	7669
IGF1R	3240
FLT3	4613
SOCS1	1590
SMARCB1	1529
NTRK1	2965
DNMT3A	6111
ALK	5649
IDH1	4762
ERBB4	6952
BAP1	3354
PIK3CA	21167
SMO	2898
RET	4295
WT1	2528
CREBBP	8205
FLCN	1870
U2AF1	1893
KDM5C	3207
ATRX	8260
MSH6	4050
FGFR1	2739
AR	3764
ARID1B	7240
ERBB3	4547
SDHC	448
MYB	866
CTNNB1	5211
PTPN11	2267
MAP3K1	4823
RARA	1471
AXIN1	1697
SPEN	5404
MSH2	2957
SUZ12	1247
AKT3	1315
RELN	29
MLH1	2290
KEAP1	4435
NRAS	5294
IKZF1	3055
PAX5	1657
PRPF40B	401
MYCN	1564
NTRK2	2208
INPP4B	1738
PTCH1	4175
PALB2	2742
MAP2K2	1141
CHEK2	2102
MEN1	2062
NOTCH2	4911
PBRM1	4890
CCND2	874
PTEN	12528
TNFAIP3	2068
CDK12	3361
JAK1	3247
KIT	5319
MYC	1678
CBL	3132
DOT1L	3049
SETD2	7255
BLM	3058
TSC1	3391
ASXL1	6340
GATA2	1407
HIST1H1C	784
HRAS	1549
CDKN1B	1308
KRAS	25453
KMT2D	19435
RAD50	2571
MAP2K1	1635
SETBP1	3662
SDHA	1782
BCORL1	3290
EGFR	11530
TSHR	2067
ARID1A	15386
RHOA	1083
TET2	8604
CSF3R	2215
BRD4	3380
NF2	2675
BCL11B	1027
CEBPA	1073
PHF6	779
CSF1R	1980
